Thu Sep 21 17:45:03 2017... 
symbols: G:TRP:CNQ:IPL:RNW:BNS:TD:Y.WT:PAAS:ABX:ENB:PWF:ALA:RY:BCE:BTE:
1:Y-WT:0.67:2017-09-21 14:25:00
2:TD:69.01:2017-09-21 16:00:00
3:BNS:79.33:2017-09-21 16:00:00
4:RNW:13.66:2017-09-21 15:59:00
5:^DJI:0:1900-01-01 00:00:00
6:NGJ12.NYM:0:1900-01-01 00:00:00
7:^GSPTSE:15454.92:2017-09-21 16:20:00
8:IPL:24.25:2017-09-21 16:00:00
9:CNQ:42.21:2017-09-21 16:00:00
10:TRP:61.63:2017-09-21 16:00:00
11:G:15.71:2017-09-21 15:59:00
12:BTE:3.61:2017-09-21 16:00:00
13:XAUUSD=X:1347:2017-09-21 20:14:00
14:BCE:58.9:2017-09-21 16:00:00
15:RY:94.23:2017-09-21 16:00:00
16:ALA:28.6:2017-09-21 16:00:00
17:PWF:34.36:2017-09-21 16:00:00
18:CLJ12.NYM:0:1900-01-01 00:00:00
19:USDCAD=X:1.2335:2017-09-21 20:15:00
20:ENB:51.14:2017-09-21 16:00:00
21:ABX:20.15:2017-09-21 16:00:00
22:^IXIC:6422.693:2017-09-21 16:45:00
23:PAAS:21.19:2017-09-21 16:00:00
deleted 0 expired quotes 
